Country,Sessions,Pageviews,Desktop %,Mobile %,Tablet %
United States,114891,239912,,,
India,46740,103486,,,
France,30030,88938,,,
United Kingdom,19902,41512,,,
Germany,13554,27058,,,
Switzerland,12120,31208,,,
Australia,9609,16966,,,
Canada,8859,15372,,,
Spain,8514,13636,,,
Singapore,7260,14288,,,
Indonesia,6477,12032,,,
Netherlands,5721,10436,,,
Italy,4791,7942,,,
Brazil,4689,11560,,,
Thailand,4422,11474,,,
Vietnam,4299,11032,,,
Malaysia,4254,9650,,,
United Arab Emirates,3945,9388,,,
South Africa,3741,6168,,,
Belgium,3186,7252,,,
Mexico,3183,6522,,,
Israel,2709,3940,,,
Poland,2682,6406,,,
Philippines,2388,3424,,,
Ukraine,2379,3856,,,
Saudi Arabia,2364,5762,,,
Hong Kong,2295,5870,,,
Ireland,2157,3636,,,
Japan,2130,4466,,,
Sweden,1962,3464,,,
