Page Title,Pageviews,Unique Pageviews,Exits,Exit Rate,Median Avg Page Load Time (ms)
Page Title 1783,44820,20486,2598,0.058,0.0
Page Title 460,44032,19324,2336,0.0531,0.0
Page Title 496,42694,32954,10350,0.2424,0.0
Page Title 1798,34818,23508,2490,0.0715,0.0
Page Title 1827,32568,24254,5894,0.181,0.0
Page Title 11,21322,13870,3228,0.1514,0.0
Page Title 477,18138,13566,1460,0.0805,0.0
Page Title 1598,16774,11876,3043,0.1814,0.0
Page Title 473,16010,14136,6986,0.4364,0.0
Page Title 526,15234,10442,1785,0.1172,0.0
Page Title 1817,13994,8394,1137,0.0812,0.0
Page Title 501,13692,8656,1003,0.0733,0.0
Page Title 1818,13482,7548,606,0.0449,0.0
Page Title 1254,11186,8240,2139,0.1912,0.0
Page Title 1315,10550,8446,2671,0.2532,0.0
Page Title 1343,10548,7506,2187,0.2073,0.0
Page Title 1384,9728,6638,1846,0.1898,0.0
Page Title 1830,9724,7196,1391,0.143,0.0
Page Title 447,9444,7584,2322,0.2459,0.0
Page Title 1475,9362,7052,2193,0.2342,0.0
Page Title 472,8482,7762,3540,0.4174,0.0
Page Title 1173,7928,5636,1776,0.224,0.0
Page Title 513,7608,6160,1258,0.1654,0.0
Page Title 1665,6532,5352,1721,0.2635,0.0
Page Title 1522,6340,4558,1274,0.2009,0.0
Page Title 1559,5782,4200,1131,0.1956,0.0
Page Title 427,5092,4220,1366,0.2683,0.0
Page Title 1498,4638,3346,865,0.1865,0.0
Page Title 421,4540,3704,1145,0.2522,0.0
Page Title 874,4216,3156,983,0.2332,0.0
Page Title 1685,3794,2854,640,0.1687,0.0
Page Title 1367,3780,2774,667,0.1765,0.0
Page Title 470,3634,2958,455,0.1252,0.0
Page Title 1812,3374,1320,93,0.0276,0.0
Page Title 487,3340,2330,926,0.2772,0.0
Page Title 1125,3252,2370,566,0.174,0.0
Page Title 428,3198,2506,825,0.258,0.0
Page Title 430,3140,2394,727,0.2315,0.0
Page Title 875,3138,2260,435,0.1386,0.0
Page Title 502,3074,1734,156,0.0507,0.0
Page Title 439,2932,2346,794,0.2708,0.0
Page Title 1795,2756,2522,1127,0.4089,0.0
Page Title 914,2756,2006,423,0.1535,0.0
Page Title 1284,2678,2128,611,0.2282,0.0
Page Title 1583,2660,2142,480,0.1805,0.0
Page Title 453,2644,2262,810,0.3064,0.0
Page Title 495,2610,1876,202,0.0774,0.0
Page Title 7,2526,1300,137,0.0542,0.0
Page Title 480,2510,2300,1047,0.4171,0.0
Page Title 1232,2354,1856,377,0.1602,0.0
